   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.91029,             0.79005,             0.85931,             0.40162,            0.038638,            0.012444,                   0,             0.01564,             0.01114,             0.96834,             0.00044,              2.8514,             0.69797,             0.08942,             0.04135,             0.41954,             0.99721,             0.85721,              1.0766,                 0.5,              4.0579,                   0,             0.01236,             0.70242,             0.39325,                   0,             0.11973,             0.37684,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              5.1366
             0.91341,             0.76145,             0.84692,             0.37968,             0.03332,            0.011488,                   0,             0.01581,             0.01106,             0.90198,             0.00044,              3.4793,             0.70645,              0.0712,              0.0345,              0.3736,             0.94489,               0.841,             0.90214,                 0.5,              4.0209,                   0,              0.0129,             0.73177,             0.40214,                   0,             0.11257,             0.38005,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,               4.726
              0.9049,             0.78751,             0.86335,             0.39739,            0.042336,            0.012381,                   0,             0.01515,             0.01283,              0.9401,             0.00047,              2.5044,             0.63078,             0.09423,             0.04633,             0.46053,             0.91636,             0.91211,              1.0922,                 0.5,              3.6701,                   0,              0.0123,             0.88796,             0.35261,                   0,             0.07734,             0.34589,                   0,                   0,                   0,                 0.5,             0.82705,                   0,                   0,               6.233
             0.90714,             0.78264,             0.85684,             0.39327,            0.039982,            0.012575,                   0,             0.01535,             0.01117,             0.96408,             0.00043,              2.8514,              0.7026,             0.08752,             0.04219,             0.43784,              1.0085,             0.84261,              1.0866,                 0.5,              4.0888,                   0,             0.01193,             0.71738,             0.40208,                   0,             0.12042,              0.3784,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              5.2589
             0.91011,             0.77453,             0.84957,             0.39181,            0.030357,           0.0078488,                   0,             0.01515,             0.01114,             0.96811,             0.00051,              3.0366,             0.69025,             0.08678,             0.03422,             0.42178,             0.92025,             0.67792,              1.1712,                 0.5,              2.5918,                   0,             0.01203,             0.72232,             0.31542,                   0,             0.11973,             0.33937,                   0,                   0,                   0,                 0.5,             0.79485,                   0,                   0,              5.0388
             0.92573,              0.7683,             0.86441,             0.40558,            0.047003,            0.013583,                   0,             0.01272,             0.01249,             0.93103,             0.00044,               2.852,             0.62309,             0.08833,             0.04932,             0.43659,              0.9979,             0.91328,              1.0483,                 0.5,              4.0888,                   0,             0.01099,             0.74297,             0.50162,                   0,              0.1227,             0.35549,                   0,                   0,                   0,                 0.5,             0.74777,                   0,                   0,              4.3545
             0.91002,             0.79567,             0.86611,             0.38997,            0.039237,            0.014969,                   0,             0.00957,                0.01,             0.97998,             0.00066,              2.7443,             0.94994,             0.10067,             0.03906,             0.62721,              1.1512,              1.0173,             0.92074,                 0.5,              5.6865,                   0,             0.01568,             0.57924,             0.33634,                   0,               0.147,             0.24401,                   0,                   0,                   0,                 0.5,             0.84147,                   0,                   0,              2.2203
              0.9134,             0.78021,             0.85629,             0.39277,            0.037024,            0.016558,                   0,             0.00957,                0.01,                0.98,             0.00066,              2.7443,             0.75864,             0.10065,             0.03678,             0.74057,               1.265,              1.1122,             0.92064,                 0.5,              5.6867,                   0,             0.02062,             0.48749,             0.34256,                   0,             0.14218,             0.28213,                   0,                   0,                   0,                 0.5,              0.8415,                   0,                   0,                   2
              0.9173,             0.78994,             0.85848,             0.39948,            0.030461,           0.0077545,                   0,             0.01021,             0.01057,             0.97487,             0.00066,              2.3174,                0.95,             0.09293,             0.03293,             0.68647,              1.0768,             0.69866,             0.95366,                 0.5,              2.5212,                   0,             0.00808,             0.55475,             0.34438,                   0,             0.13287,              0.2887,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.91206,              0.8013,               0.862,             0.40428,            0.044304,            0.015203,                   0,             0.00823,                0.01,                0.98,             0.00048,              2.7281,             0.76909,             0.09244,             0.04458,             0.73625,              1.4172,              1.0097,             0.98677,                 0.5,               5.039,                   0,             0.01731,             0.53254,             0.33636,                   0,             0.14699,             0.19405,                   0,                   0,                   0,                 0.5,             0.92372,                   0,                   0,              2.2203
             0.90563,             0.80373,             0.86992,             0.40606,            0.041802,            0.015811,                   0,             0.00957,                0.01,             0.95033,             0.00069,              2.5694,             0.83065,             0.10611,             0.04178,             0.62719,              1.0308,              1.0584,             0.95155,                 0.5,              6.1403,                   0,             0.01498,             0.48531,              0.3432,                   0,             0.14699,             0.26951,                   0,                   0,                   0,                 0.5,              0.8415,                   0,                   0,              2.6059
             0.91506,             0.77291,              0.8559,             0.38641,            0.051345,            0.012543,                   0,             0.01367,             0.01187,             0.96142,             0.00043,              3.1344,             0.61224,             0.08559,             0.05258,             0.43101,             0.93318,             0.78854,              1.0483,                 0.5,              4.3576,                   0,             0.01007,             0.78042,               0.497,                   0,              0.1227,             0.38527,                   0,                   0,                   0,                 0.5,              0.7131,                   0,                   0,              4.2801
             0.90075,             0.76546,             0.83918,             0.38034,            0.056468,            0.010534,                   0,             0.01272,             0.01565,             0.91566,             0.00044,              2.6774,             0.53875,             0.07159,             0.06284,             0.43659,             0.91029,             0.91328,              1.0483,                 0.5,              2.6232,                   0,             0.00931,                 0.9,             0.50162,                   0,             0.15457,             0.35549,                   0,                   0,                   0,                 0.5,             0.74255,                   0,                   0,              6.8742
             0.89786,             0.79846,             0.86589,             0.40431,            0.033259,            0.013331,                   0,             0.01496,             0.01249,             0.95948,             0.00049,              2.9052,             0.62309,             0.08545,             0.03608,             0.48476,              0.9979,             0.88598,               1.205,                 0.5,              3.9061,                   0,              0.0087,             0.78994,             0.53022,                   0,             0.16945,             0.23299,                   0,                   0,                   0,                 0.5,             0.65621,                   0,                   0,              4.5365
             0.89866,             0.78391,             0.85225,             0.38948,            0.062322,            0.012748,                   0,             0.00968,                0.01,              0.9775,              0.0005,              3.3149,             0.62309,             0.09639,             0.06359,             0.50202,             0.92002,             0.91328,             0.89098,                 0.5,              4.0888,                   0,             0.01185,             0.62706,             0.50162,                   0,              0.1227,             0.29894,                   0,                   0,                   0,                 0.5,             0.73852,                   0,                   0,              4.3545
             0.92732,               0.794,             0.87083,             0.40903,            0.047228,            0.013085,                   0,             0.01281,             0.01126,             0.92316,             0.00045,              3.1862,             0.58588,             0.08752,             0.04995,              0.4226,              1.0606,             0.91328,              1.0153,                 0.5,              3.9242,                   0,             0.01104,             0.68688,             0.47974,                   0,             0.13697,             0.33623,                   0,                   0,                   0,                 0.5,             0.74972,                   0,                   0,              2.9434
             0.93529,             0.79713,             0.87093,             0.41311,            0.040563,            0.013699,                   0,             0.01531,             0.01117,             0.95733,             0.00039,              2.8775,             0.86676,             0.09326,             0.04507,              0.2953,              1.2019,              1.0145,              1.0102,                 0.5,              3.9603,                   0,             0.01501,             0.69115,             0.47764,                   0,             0.13484,              0.3446,                   0,                   0,                   0,                 0.5,             0.83278,                   0,                   0,              5.2423
             0.90298,             0.77859,             0.84774,             0.39089,            0.049291,            0.013332,                   0,             0.01662,                0.01,             0.95499,             0.00044,              3.1862,             0.62424,             0.10924,             0.05045,             0.44743,             0.87148,             0.86974,               1.083,                 0.5,              4.0573,                   0,             0.01104,             0.76529,             0.43574,                   0,             0.15762,             0.33508,                   0,                   0,                   0,                 0.5,             0.73597,                   0,                   0,              2.2862
             0.91773,             0.78589,             0.87253,              0.4108,            0.046295,            0.013134,                   0,             0.01289,             0.01126,             0.92377,             0.00045,              3.1862,             0.58707,             0.08838,             0.04933,             0.42004,              1.0668,             0.92136,              1.0131,                 0.5,              3.8878,                   0,             0.01094,             0.68688,              0.4837,                   0,             0.13536,             0.33623,                   0,                   0,                   0,                 0.5,             0.74981,                   0,                   0,              2.9434
             0.91254,             0.77853,             0.85444,             0.39048,            0.046501,            0.015938,                   0,             0.01281,             0.01095,             0.92316,             0.00048,              2.9229,             0.64566,             0.08752,             0.04739,             0.41333,              1.0976,               1.002,              1.2001,                 0.5,              3.8208,                   0,             0.01035,             0.73288,             0.44371,                   0,             0.13567,             0.33859,                   0,                   0,                   0,                 0.5,             0.77119,                   0,                   0,                   2
             0.92886,             0.78183,             0.87279,             0.41152,            0.047447,            0.013185,                   0,              0.0128,             0.01122,             0.92518,             0.00045,              3.1862,              0.5856,             0.08773,             0.04984,             0.41941,              1.0606,             0.90817,              1.0153,                 0.5,              3.9559,                   0,             0.01102,             0.68622,             0.48368,                   0,             0.13747,             0.33664,                   0,                   0,                   0,                 0.5,             0.74789,                   0,                   0,              2.9705
             0.89383,             0.78518,             0.85313,             0.39515,            0.047919,            0.012106,                   0,             0.01314,              0.0119,             0.91073,             0.00045,              3.1862,             0.60495,             0.08058,             0.04974,             0.48983,              1.0543,             0.87014,             0.91027,                 0.5,              3.9098,                   0,             0.01094,             0.68688,             0.49894,                   0,             0.13567,             0.33133,                   0,                   0,                   0,                 0.5,             0.74981,                   0,                   0,              2.9434
             0.90347,             0.78184,             0.85014,             0.37871,            0.048363,            0.013495,                   0,             0.01193,             0.01097,             0.92377,             0.00045,              3.1862,             0.64068,             0.08967,             0.04913,             0.43795,              0.9968,             0.90977,              1.0131,                 0.5,              3.8878,                   0,             0.01043,             0.65065,             0.50016,                   0,             0.13826,             0.34961,                   0,                   0,                   0,                 0.5,             0.74981,                   0,                   0,               2.631
